game,move,white,black,san,uci,depth,score_cp,nodes,time_ms,link,cpl,is_white
2,45,xq54,ArturBK,d6,d5d6,18,633,2443679,1685,https://lichess.org/LREDvFSY,0,True
2,46,xq54,ArturBK,fxg2,f3g2,18,814,1510771,711,https://lichess.org/LREDvFSY,181,False
2,47,xq54,ArturBK,d7,d6d7,18,907,11770810,6304,https://lichess.org/LREDvFSY,0,True
2,48,xq54,ArturBK,h5,h7h5,18,883,843612,377,https://lichess.org/LREDvFSY,0,False
2,49,xq54,ArturBK,Re8,e7e8,18,892,4724799,2089,https://lichess.org/LREDvFSY,0,True
2,50,xq54,ArturBK,h4,h5h4,18,3000,1027218,381,https://lichess.org/LREDvFSY,108,False
2,51,xq54,ArturBK,Rxf8+,e8f8,18,9986,1401492,548,https://lichess.org/LREDvFSY,0,True
2,52,xq54,ArturBK,Kxf8,g8f8,18,9997,7805,6,https://lichess.org/LREDvFSY,0,False
2,53,xq54,ArturBK,d8=Q+,d7d8q,18,9998,404,2,https://lichess.org/LREDvFSY,0,True
2,54,xq54,ArturBK,Kg7,f8g7,18,9998,1218,2,https://lichess.org/LREDvFSY,0,False
2,55,xq54,ArturBK,Qcf6+,c6f6,18,9999,68,1,https://lichess.org/LREDvFSY,0,True
2,56,xq54,ArturBK,Kh6,g7h6,18,9999,1006,1,https://lichess.org/LREDvFSY,0,False
2,57,xq54,ArturBK,Qdh8#,d8h8,0,10000,0,0,https://lichess.org/LREDvFSY,0,True
3,1,Koshmarek,ArturBK,e4,e2e4,18,47,1094110,1374,https://lichess.org/qOFgYcRm,0,True
3,2,Koshmarek,ArturBK,c5,c7c5,18,64,682985,819,https://lichess.org/qOFgYcRm,17,False
3,3,Koshmarek,ArturBK,d4,d2d4,18,7,470672,565,https://lichess.org/qOFgYcRm,57,True
3,4,Koshmarek,ArturBK,cxd4,c5d4,18,44,412485,465,https://lichess.org/qOFgYcRm,37,False
3,5,Koshmarek,ArturBK,c3,c2c3,18,-46,631026,738,https://lichess.org/qOFgYcRm,90,True
3,6,Koshmarek,ArturBK,d6,d7d6,18,104,406837,479,https://lichess.org/qOFgYcRm,150,False
3,7,Koshmarek,ArturBK,cxd4,c3d4,18,78,983507,1163,https://lichess.org/qOFgYcRm,26,True
3,8,Koshmarek,ArturBK,Nf6,g8f6,18,115,513979,622,https://lichess.org/qOFgYcRm,37,False
3,9,Koshmarek,ArturBK,Bb5+,f1b5,18,66,509357,657,https://lichess.org/qOFgYcRm,49,True
3,10,Koshmarek,ArturBK,Bd7,c8d7,18,79,640079,826,https://lichess.org/qOFgYcRm,13,False
3,11,Koshmarek,ArturBK,Bxd7+,b5d7,18,64,1031289,1277,https://lichess.org/qOFgYcRm,15,True
3,12,Koshmarek,ArturBK,Nbxd7,b8d7,18,75,245393,293,https://lichess.org/qOFgYcRm,11,False
3,13,Koshmarek,ArturBK,Nc3,b1c3,18,58,947930,1194,https://lichess.org/qOFgYcRm,17,True
3,14,Koshmarek,ArturBK,a6,a7a6,18,111,659496,799,https://lichess.org/qOFgYcRm,53,False
3,15,Koshmarek,ArturBK,Nf3,g1f3,18,114,1152797,1354,https://lichess.org/qOFgYcRm,0,True
3,16,Koshmarek,ArturBK,Qc7,d8c7,18,192,1223484,1481,https://lichess.org/qOFgYcRm,78,False
3,17,Koshmarek,ArturBK,O-O,e1g1,18,185,1106484,1248,https://lichess.org/qOFgYcRm,7,True
3,18,Koshmarek,ArturBK,Rc8,a8c8,18,262,1023592,1185,https://lichess.org/qOFgYcRm,77,False
3,19,Koshmarek,ArturBK,Bf4,c1f4,18,140,1421720,1591,https://lichess.org/qOFgYcRm,122,True
3,20,Koshmarek,ArturBK,e6,e7e6,18,282,1150729,1276,https://lichess.org/qOFgYcRm,142,False
3,21,Koshmarek,ArturBK,Qd2,d1d2,18,67,1123683,1286,https://lichess.org/qOFgYcRm,215,True
3,22,Koshmarek,ArturBK,Be7,f8e7,18,237,990868,1107,https://lichess.org/qOFgYcRm,170,False
3,23,Koshmarek,ArturBK,Rac1,a1c1,18,263,967992,1050,https://lichess.org/qOFgYcRm,0,True
3,24,Koshmarek,ArturBK,Qb8,c7b8,18,321,846388,964,https://lichess.org/qOFgYcRm,58,False
3,25,Koshmarek,ArturBK,e5,e4e5,18,256,674994,761,https://lichess.org/qOFgYcRm,65,True
3,26,Koshmarek,ArturBK,dxe5,d6e5,18,239,1231061,1395,https://lichess.org/qOFgYcRm,0,False
3,27,Koshmarek,ArturBK,Nxe5,f3e5,18,16,853300,959,https://lichess.org/qOFgYcRm,223,True
